SL NO,Hospital Name,ZONE,State,City,Address,Contact Person,Contact Number,Pincode,Area
2976,Maharaja Agrasen Hospital,NORTH,Rajasthan,Jaipur,"Central Spine, Sec -7 , Vidhyadhar Nagar, City: Jaipur, Dist: Jaipur, State: Rajasthan - 302039",Ms Anushka Daila,STD (0141) Tel: 2334609 Fax: 0 Mob: 9460143721,302039.0,Vidhyadhar Nagar
2977,Maharaja Agrasen Hospital (Dwarka),NORTH,Delhi,New Delhi,"Sec-01, Dwarka, Plot No-01, Near Flyover, New Delhi, Dist: South West, State: Delhi - 110075",Rashmi - TPA Co-ordinator,Std (011) Tel: 28089135 Fax: 0 Mob: 9871628069,110075.0,Dwarka
2978,Maharaja Hospital,NORTH,Haryana,Rewari,"Opp. Punjab National Bank, Near Radhika Cinema Hall, Rewari 123401 Dist Rewari Haryana",Dr.Manish Taneja - Director,STD (01274) 254040 Fax:254040,123401.0,Near Radhika Cinema Hall
2979,Mahashabde Netralaya And Child Care Centre,NORTH,Madhya Pradesh,Indore,"6, Indira Gandhi Nagar, Kesharbag Road, Indore 452009 Dist Indore Madhya Pradesh",Dr Sudhir Mahashabde,STD(0731) Tel: 4268118 Fax: 2472483,452009.0,Kesharbag Road
2980,Mahathma Eye Hospital,SOUTH,Tamil Nadu,Tiruchirappalli,"No.6, Seshapuram, Tennur, Tiruchirapalli 620017 Dist Tiruchirapalli Tamil Nadu",Dr.R.Ramesh,STD (0431) 2740494 2741198 Fax:2742400,620017.0,Seshapuram
2981,Mahatma Gandhi Cancer Hospital & Research Centre,SOUTH,Andhra Pradesh,Visakhapatnam,"Plot No-1, Sector-7, Mvp Colony Visakhapatnam 530017 Dist Visakhapatnam Andhra Pradesh",Dr Murali Krishna - MD,STD : 0891 Ph No : 2551811 2878787 Fax : 2506103,530017.0,MVP Colony
2982,Mahatma Gandhi Institute Of Medical Sciences,NORTH,Haryana,Hisar,"Iti Chowk, Behind Hari Place, Toshan Road, Hisar, Dist: Hisar, State: Haryana-125005",Shalini - TPA Incharge,"STD(01662) Tel: 247414, Fax:0, Mob: 9992079111",125005.0,Behind Hari Place
2983,Mahatme Eye Bank Eye Hospital,WEST,Maharashtra,Nagpur,"2163, C, Chinataman Nagar, Near Rajiv Nagar, Somalwada, Nagpur 440025 Dist Nagpur Maharashtra",Mr. Deepal Kande,STD(0712) Tel: 2289101 Fax: 2242202,440025.0,Somalwada
2984,Mahatme Nursing Home,WEST,Goa,Bicholim,"H.No. 2851, Sankalp Gardens, Valshi, Near Iti College Bicholim 403504 Dist North Goa Goa",Dr Mithun Mahatme,STD : 0832 Phone No : 2362659,403504.0,Near ITI College
2985,Mahaveer Hospital,NORTH,Uttar Pradesh,Kanpur,"E-76, Station Road, Panki, Kanpur 208020 Dist Kanpur Uttar Pradesh",Mr. Omkar Singh,STD(0512) Tel: 2260144; 2660401 Fax: 2660400,208020.0,Panki
2986,Mahavir ENT Hospital,NORTH,Rajasthan,Kota,"8-A-4, Mahavir Nagar, 3rd Circle, Kota - 324007; Dist: Kota; State: Rajasthan",Dr. Vineet Jain - Director,Std (0744) Tel: 5149010 Fax: 0,324007.0,Mahavir Nagar
2987,Mahavir Hospital,WEST,Maharashtra,Palghar,"Arihant Bungalow, Near Old Viva College, Ram Mandir Road, M.B..Estate, Virar West, Tal Vasai City: Palghar, Dist: Mumbai, State: Maharashtra - 401303",Dr.Naresh Chheda - MD,"STD (0250) Tel: 2502790, 2502890 Fax: 0 Mob: 9823146222",401303.0,Virar West
2988,Mahavir Hospital And Research Centre,SOUTH,Telangana,Hyderabad,"10-1-1, Mahavir Marg, A C Guards, Hyderabad 500004 Dist Hyderabad Telangana",MR. Srinivas,STD (040) Tel: 23497300 Fax: 66631500,500004.0,A C Guards
2989,Mahavir Jaipuriya Rajasthan Hospital,NORTH,Rajasthan,Jaipur,"Near Government Jaipuriya Hospital, Milap Nagar JLN Marg, City: Jaipur, Dist: Jaipur, State: Rajasthan - 302018",...,STD (0) Tel: 0 Fax: 0 Mob: 0,302018.0,Milap Nagar
2990,Mahavir Maternity & General Hospital,WEST,Maharashtra,Mumbai,"Near Jain Temple, Kurar Village, Malad, Mumbai, Dist: Mumbai, State: Maharashtra-400097",0,"STD(0) Tel: ), Fax:0, Mob:7738361232",400097.0,Near Jain Temple
2991,Mahavir Multi Speciality Hospital,WEST,Gujarat,Vadodara,"Beside Radhe Govind Apartment, . Kaladarshan Cross Road, Waghodia Road, Vadodara 390025 Dist Vadodara Gujarat",Dr. Krutesh Shah - Proprietor,STD(0265) Tel: 2521133 2521155 Fax: 2518383,390025.0,Waghodia Road
2992,Mahesh Hospital,WEST,Maharashtra,Kalyan,"Balaji Apartment, 1st Floor Poona Link Road Kalyan - East City: Thane, Dist: Thane, State: Maharashtra - 421306",Dr. Santosh Chaudhari - Medical Superintendent,STD (0251) Tel: 2331577 2331197 Fax: 2331577 Mob: 0,421306.0,Kalyan - East
2993,Mahesh Nursing Home,SOUTH,Karnataka,Davangere,Kottur Road Harajanahalli Kottur Road Davangere 583131 Dist Davangere Karnataka,Dr. S N Mahesh -,STD(08398) Tel: 281348 Fax: 282148,583131.0,Kottur Road
2994,Maheshwari Nursing Home,NORTH,Madhya Pradesh,Gwalior,"85, Laxmi Bai Colony Padav Gwalior Gwalior 474009 Dist Gwalior Madhya Pradesh",Dr. V K Maheshwari - Proprietor,STD(0751) Tel: 4012551 4012552 Fax: 4013180,474009.0,Padav
2995,Maheshwari Orthopaedic Hospital,WEST,Gujarat,Jamnagar,Panchmukhi Shopping Centre Near Amber Cinema Jamnagar Jamnagar 361008 Dist Jamnagar Gujarat,Dr. K S Maheshwari - Surgeon,STD(0288) Tel: 2556655 2541002 2663020 Fax: 2558169,361008.0,Near Amber cinema
2996,Mahindru Hospitals Pvt. Ltd.,NORTH,Delhi,New Delhi,"E-1, Kiran Garden, Main Najafgarg Road, Opp. Metro Piller No. 712, Uttam Nagar New Delhi 110059 Dist New Delhi Delhi",TPA Coordinator,STD (011) Tel: 25343500 25333500 25332221 Fax: 25332220,110059.0,Uttam Nagar
2997,Maithri Hospital,SOUTH,Karnataka,Hosapete,"Sai complex, Beside LIC fice, Dam Road, Hosapete 583203 Dist Bellary Karnataka",Dr.Perumal Swamy,STD (08394) 230616,583203.0,Dam Road
2998,Maitri Hospital,NORTH,Rajasthan,Kota,"2-A, Talwandi Scheme, Kota 324005 Dist Kota Rajasthan",Mr.J.K.Singhvi - Director,"STD (0744) 2427359, 2426684",324005.0,Talwandi Scheme
2999,MAJ Hospital (Mar Augustin Jubliee Hospital),SOUTH,Kerala,Kochi,"Market Road, Edapally Kochi 682024 Dist Ernakulam Kerala",Mr. Justine C Augustine -,STD(0484) Tel: 2335996 2344996 Fax:,682024.0,Edapally
3000,Majestic Hospital,SOUTH,Telangana,Hyderabad,9-2-504 504/B LUNGER HOUSE HYDERABAD ANDHRA PRADESH 500008 SOUTH,Dr S.K. Zainab - Managind Director,STD(040) Tel: 23521051 Fax:,500008.0,Langer House
3001,Majumdar Millenium Nursing Home & Reliable Diagnostic Centre,EAST,West Bengal,Nadia,A - 9x/3 (CA) Near Kalyani Branch Railway Station Kalyani Kalyani 741235 Dist Nadia West Bengal,Mr. Momy Majumdar - Director,STD(033) Tel: 25820685 25808354 Fax: 25820685,741235.0,Kalyani
3002,Makkar Medical Centre,NORTH,Delhi,New Delhi,A-1 Priyadarshini Vihar New Delhi 110092 Dist New Delhi Delhi,Dr. Ashish Makkar - Medical Director,STD(011) Tel: 22462221 22466992 Fax: 22462221 22466992,110092.0,PRIYADRSHINI VIHAR
3003,Malabar Hospital,SOUTH,Kerala,Malappuram,Manjeri Manjeri 689645 Dist: Malappuramkerala,-,STD(0483) Tel: 2763141 2763139 Fax:,689645.0,Manjeri
3004,"Malabar Hospital, Palakkad (Fort Hospital Ltd)",SOUTH,Kerala,Palakkad,17/522(1) Nursing Home 47 West Yakkara Palakkad 678001 Dist Palakkad Kerala,Mr. Ramunny Kutty Menon - Manager,STD(0491) Tel: 2528200 2528201 Fax: 2523220,678001.0,West Yakkara
3005,MALABAR INSTITUTE OF MEDICAL SCIENCES LTD,SOUTH,Kerala,Kannur,"Chala East, By Pass Road, Kannur, Dist: Kannur, State: Kerala-670621",Azad moopen-Chairman,"STD (497) Tel: 2838000, Fax: (0), Mob: 9048165074",670621.0,By Pass Road
3006,Malabar Institute Of Medical Sciences Ltd kottakkal,SOUTH,Kerala,Kottakkal,"Changuvetty, Near P.W.D Guest House, Kottakkal 676503 Dist Malappuram Kerala",Shobha Murthy,"STD(0483) Tel: 2807000, 2807879 Fax:2807888",676503.0,Near PWD Guest House
3007,"Malabar Institute of Medical Sciences Ltd.,",SOUTH,Kerala,Kozhikode,"Mini Bye Pass Road, Govinda Puram Kozhikode Kozhikode 673016 Dist Kozhikode Kerala",Dr. Abdulla - Managing Director,STD(0495) Tel: 3911400 2488000 Fax:2741329,673016.0,Govindapuram
3008,Malankara Orthodox Syrian Church Medical College Hospital (MOSC Medical College Hospital ),SOUTH,Kerala,Kochi,Kolenchery P.O. Ernakulam 682311 Dist Ernakulam Kerala,Joy P Jacob,"STD (0484) Tel: 3055555, 3055731 Fax: 2765725",682311.0,Kolenchery
3009,Malavia Eye hospital,WEST,Gujarat,Bhavnagar,"1,Marine Society Jail Road Opp: Adarsh Complex Bhavnagar 364001 Dist Bhavnagar Gujarat",Dr. Bhanuben C Malavia - Director,STD(0278) Tel: 2423876 Fax: 2423876,364001.0,Opp: Adarsh Complex
3010,Malhotra Hospital,NORTH,Haryana,Panipat,"656-R, Pruthi Chowk, Model Town, Panipat, Dist: Panipat, State: Haryana - 132103",Jitender Neha - TPA Co-ordinator,STD (0180) Tel: 4016310 Fax: 0 Mob: 9996007312,132103.0,Model town
3011,Malik Radix Health Care Pvt. Ltd.,NORTH,Delhi,New Delhi,C-218 Nirman Vihar Vikas Marg New Delhi 110092 Dist New Delhi Delhi,Dr. Ravi Malik - Director,STD(011) Tel: 22011192 22011196 22011208 Fax: 22011192 22011208,110092.0,Vikas Marg
3012,Mallareddy Hospital ( Sponsored by Chandramma Educational Society ),SOUTH,Telangana,Hyderabad,"Sy. No.138, Suraram Main Road, Quthbullapur Municipality Hyderabad 500055 Dist Rangareddy Telangana",Dr.CH. Bhadra Reddy - Managing Director,STD (040) 64583333,500055.0,Suraram Main Road
3013,Mallege Medical Centre Pvt Ltd,SOUTH,Karnataka,Bengaluru,"31/32, Crescent Road, Bangalore 560001 Dist Bangalore Karnataka",Dr AC Sreeram,STD (080) 67165555 Fax:40914641,560001.0,Crescent Road
3014,Malligai Hospital,SOUTH,Tamil Nadu,Chennai,"No 33, Kanakapillai Street Tondiarpet Chennai 600081 Dist Chennai Tamil Nadu",Dr. K Rajendran -,STD(044) Tel: 25955152 25963789 Fax: 25979655,600081.0,Tondiarpet
3015,Mallika Hospital,WEST,Maharashtra,Mumbai,"Sharma Estate, S.V Road, Jogeshwari, Mumbai, Dist: Mumbai, State: Maharashtra-400060",Dr Bhupendra Mahajan,9819419256,400060.0,Jogeshwari - west
3016,Mallika Nursing Home,SOUTH,Tamil Nadu,Coimbatore,"25, Old 195 Rajgopal Nagar Kuniamuthur Coimbatore 641008 Dist Coimbatore Tamil Nadu",Dr. V Elango - Managing Director,STD(0422) Tel: 2251199 2251566 2261206 Fax:,641008.0,Kuniamuthur
3017,Mallikarjuna Nursing Home,SOUTH,Karnataka,Shivamogga,Hotel Jewel Rock Road Durgigudi Shimoga Shimoga 577201 Dist Shimoga Karnataka,Dr. A S Srinair - Medical Director,STD(08182) Tel: 223580 Fax: 220552,577201.0,Durgigudi
3018,Mallya Hospital,SOUTH,Karnataka,Bengaluru,No 2 Vittal Mallya Road Bangalore 560001 Dist Bangalore Karnataka,Mr. Desiken -,STD(080) Tel: 22277979 22277997 2277991 Fax: 22242326 22121282,560001.0,Vittal Mallya Road
3019,MALPANI HOSPITAL,NORTH,Rajasthan,Jaipur,SP-6 ROAD NO 1 VISHWAKARMA INDUSTRIAL AREA SIKAR ROAD RAJASTHAN JAIPUR 302013 North,,STD (0141) 5195208,302013.0,Jaipur
3020,Mamata Nursing Home,EAST,West Bengal,Tamluk,"Daharpur, Po + Ps Tamluk Tamluk Tamluk 721636 Dist Medinipur West Bengal",Mr. Samarendranath H Samanta - Proprietor,STD(03228) Tel: 266329 Fax: 267279,721636.0,Tamluk
3021,Mamta Hospital,WEST,Gujarat,Ahmedabad,"2, Arohi Arcade, 2nd Floor, Sarkari Tubewell Near H.P.Petrol Pump, Bopal, Ahmedabad 380058 Dist Ahmedabad Gujarat",Dr. Ashok Patel - M D,STD(02717) Tel: 235888 Fax: 235888,380058.0,Bopal
3022,Mamta Hospital,WEST,Maharashtra,Malegaon,"Suryakiran Apartment, Satana Naka, Osiya Nagar, Maloji nagar, City: Malegaon, Dist: Nashik, State: Maharashtra - 423203",...,STD (02554) Tel: 251616 Fax: 0 Mob: 0,423203.0,Malegaon
3023,"Mamta Hospital, Dombivili",WEST,Maharashtra,Dombivli,"P-43, Next To Icici Bank, Phase Ii, M.I.D.C, Dombivli - East Thane 421203 Dist Thane Maharashtra",Mr. Kamat,STD (022) Tel: 2444111 2455144 Fax: 2440874,421203.0,Dombivli - East
3024,"Mamta Hospital, Gurgaon",NORTH,Haryana,Gurugram,877/2 Mata Road Near Roadways Work Shop Gurgaon 122001 Dist Gurgaon Haryana,Ms. Mamta Agarwal - Director,STD(0124) Tel: 2220616 2220811 2220595 Fax: 4795600,122001.0,Near Roadways Work Shop
3025,"Mamta Hospital, Latur",WEST,Maharashtra,Latur,"146/5, Near Shivaji Chowk Mitra Nagar, Latur 413531 Dist Latur Maharashtra",Dr. Pallavi Reddy - Marketing,STD(02382) Tel: 243493 245758 255091 Fax: 253381,413531.0,Mitra Nagar
3026,Mamta Memorial Hospital,WEST,Maharashtra,AURANGABAD,"Plot No 106, Near Mahadevi Temple, Bajaj Nagar, City: Aurangabad, Dist: Aurangabad, State: Maharashtra-431136",Dr. Sudam Chavan-MD,"STD(0240) Tel; 6602671, Fax:0, Mob: 8149803979",431136.0,Near Mahadevi Temple
3027,Mana Hospitals,SOUTH,Telangana,Hyderabad,"Plot No:498, Opp:Reliance Fresh, Vivekananda Nagar Colony, Kukatpally Hyderabad 500072 Dist Hyderabad Telangana, City: Hyderabad, Dist: Hyderabad, State: Telangana - 500072.",..,STD (040) Tel:23063377 Fax: 0 Mobile: 7288040404,500072.0,Kukatpally
3028,Manas Eye Hospital,SOUTH,Telangana,Hyderabad,"Rajeevnagar X Road, Mothi Nagar Hyderabad 500018 Dist Hyderabad Telangana",Dr.D.V. Ravi. P. Rao,STD (040) 23841244 Fax:23841244,500018.0,Mothi Nagar
3029,MANASA HOSPITAL,SOUTH,Karnataka,Bengaluru,G CHANDRANNA BUILDING DEVANAHALLI NEAR OLD BUS STAND KARNATAKA BENGALURU 562110 South,Dr N. H Narasa Reddy - Medical Director,STD(080) Tel: 27682385 Fax: 27680006,562110.0,Devanahalli Town
3030,Manasa Hospital,SOUTH,Karnataka,Bengaluru,"Opp To Lic fic, D.Cross Main Road, Doddaballapur Bangalore 561203 Dist Bangalore Karnataka",Dr Subhash,STD(080) Tel: 27622162,561203.0,Doddaballapur
3031,Manasa Trinity Heart Hospital,SOUTH,Karnataka,Bengaluru,"C/O Sushrusha Hospital, Opp to Anjaneya Temple, BB Road Yelahanka Old Town",Nandini,8095895430,560064.0,Yelahanka New Town
3032,Manasvi Spine And Ortho Care,WEST,Maharashtra,Mumbai,"1st Floor, Sai Plaza, Near Tilak Post Office, Dr. R P Road, Dombivili East, Mumbai, Dist: Mumbai, State: Maharashtra - 421201",0,STD (0251) Tel: 2440060,421201.0,Dombivli
3033,Manav Hospital (A Unit of Shubham Hospital And Research Centre Pvt Ltd),NORTH,Uttar Pradesh,Ghaziabad,"B Block, Kavi Nagar, Ghaziabad - 201002; Dist: Ghaziabad; State: Uttar Pradesh",0,STD (0120) Tel: 2752659 Fax: 0,201002.0,Kavi Nagar
3034,MANCHU EYE CARE,SOUTH,Andhra Pradesh,Srikakulam,D.No-2-2-54 Near Bhadramma Temple Ili Sipuram Road Srikakulam,Mr Jhon Kumar,9502410556,532001.0,illisipuram Road
3035,Mandhaniya Cancer Hospital & Research Institute,WEST,Maharashtra,Nagpur,"A-501, Fifth Floor, Neeti Gaurav Complex, 20, Central Bazar Road, Ramdaspeth, City: Nagpur, Dist: Nagpur, State: Nagpur - 440010",Dr. Sushil Mandhaniya - MD,"STD: 0712, Tel: 2442166, Fax: 0, Mob: 8830457948",440010.0,Nagpur
3036,Mangal Prabhu Nursing Home Polyclinic And Diagnostic,WEST,Maharashtra,Navi Mumbai,"Plot No. 27, Sector-24, Sanpada - Juinagar, Navi Mumbai 400706 Dist Thane Maharashtra",Dr Anand Sude,STD (022) Tel: 27711423 Fax: 27711452 Mob: 0,400706.0,Sanpada – Juinagar
3037,Mangala Hospital,SOUTH,Karnataka,Hassan,Sampige Road K R Puram Hassan 573201 Dist Hassan Karnataka,Dr. Ashok Gowda - Director,STD(08172) Tel: 267236 261891 Fax: 260897,573201.0,K R Puram
3038,Mangala Hospital And Mangala Kidney Foundation,SOUTH,Karnataka,Mangaluru,"Vajra Hills, Kadri Road Mangalore 575003 Dist Dakshin Kannada Karnataka",Dr Ganapathi - Managing Director,STD (0824) 2443088 2443286 Fax:2444124,575003.0,Kadri Road
3039,Mangala Multispeciality Hospital (P) Ltd,NORTH,Uttar Pradesh,Kanpur,"147-A, Safipur-II, Ramadevi, New Pac lines, Kanpur - 208007; Dist: Kanpur; State: Uttar Pradesh",Dr. R. Munish Yadav - Director,Std (0512) Tel: 2404601 2404602 Fax: 0,208007.0,Safipur-II
3040,"Mangalam Hospital, Chennai",SOUTH,Tamil Nadu,Chennai,"#1, J C N Street Poonamallee Chennai Chennai 600056 Dist Chennai Tamil Nadu",-,STD(044) Tel: 26272447 Fax: 26492447,600056.0,Poonamallee
3041,"Mangalam Hospital, Jaipur",NORTH,Rajasthan,Jaipur,C-30-A Baraf Khana Jaipur Jaipur 302004 Dist Jaipur Rajasthan,Dr. Anju B Mathur - Director,STD(0141) Tel: 26000990 2615367,302004.0,Baraf Khana
3042,Mangalore Nursing Home,SOUTH,Karnataka,Mangaluru,Upper Bendoor P.B.No-531 Upper Bendoor Mangalore 575002 Dist Dakshin Kannada Karnataka,Dr. K Shanker Bhat - Managing Director,STD(0824) Tel: 2218316 2218617 Fax: 2218483,575002.0,Upper Bendoor
3043,Manglam Hospital,NORTH,Delhi,New Delhi,"B-42, West Vinod Nagar, Delhi 110092 Dist New Delhi Delhi",Dr. M.S.Chaudhary - Director,STD (011) 22476135,110092.0,West Vinod Nagar
3044,Mani Speciality Hospital,SOUTH,Karnataka,Hassan,"252, Sampige Road, K R Puram, K R Puram, 573201 Dist Hassan Karnataka",Mr. Tungabhadra R,STD (08172) Tel: 260034 Fax: 232551,573201.0,K R Puram
3045,Manipal Hospital (Whitefield) Pvt Ltd,SOUTH,Karnataka,Bengaluru,"Suevey NO. 143,212-215, EPIP Industrial Area, f Hoodi Village, K.R.Puram, Hobli, City: Bengaluru, Dist: Bangalore, State: Karnataka - 560048",..,STD (0) Tel: 0 Fax: 0 Mob: 0,560048.0,Hoodi
3046,Manipal Hospital Goa,WEST,Goa,Panaji,"Dr. E. Borges Road Near Hotel Cidade De Goa Dona Paula City: Panjim, Dist: North Goa, State: Goa - 403004",Mrs. Annie Fernandis - Administrator,STD (0832) Tel: 3048800 3048807 3048809 Fax: 3048813 Mob: 0,403004.0,Dona Paula
3047,Manipal Hospital Salem,SOUTH,Tamil Nadu,Salem,"Salem-Bangalore Highways, Dalmia Board, Salem 636012 Dist Salem Tamil Nadu",Ms. Shakila [ Insurance coordinator],"STD(0427) Tel: 2346600,2346601 Fax: 2345455",636012.0,Dalmia Board
3048,"Manipal Hospital, Airport Road",SOUTH,Karnataka,Bengaluru,"98, Rustom Bagh, Airport Road, City: Bangalore, Dist: Bangalore State: Karnataka - 560017",Dr Niranjan Rai - Head Patient Support Services,"STD (080) Tel: 25024660, 25024661 Fax: 25265221, 25280548",560017.0,Airport Road
3049,Manipal North Side Hospital,SOUTH,Karnataka,Bengaluru,"71, 11th Main, Malleshwarvaram, City: Bangalore Dist: Bangalore, State: Karnataka - 560003",Mrs. Prathima Nayak - Manager,STD (080) Tel: 23460468 23460469 23460470 Fax: 23460471,560003.0,Malleshwarvaram
3050,"Manipal Super Speciality Hospital, Vijaywada",SOUTH,Andhra Pradesh,Vijayawada,Near Kanakadurga Varadhi Tadepalli Vijayawada 522501 Dist Guntur Andhra Pradesh,Mr. V.V Vijay Kumar - General Manager,STD(0866) Tel: 2498200 2498300 2498400 Fax: 2498956,522501.0,Tadepalli
3051,Manisha Hospital,NORTH,Madhya Pradesh,Bhopal,"A-8, Gomti Colony Nehru Nagar, Bhopal 462003 Dist Bhopal Madhya Pradesh",Dr. Rahul Khare,STD(0755) Tel: 2774811 2774811,462003.0,Gomti Colony Nehru Nagar
3052,Manisha Universal Multispeciality Hospital,WEST,Maharashtra,Mumbai,"Manisha Heights, 2nd Floor, Vaishali Nagar, LBS Road, Near HP Petrol Pump, Mulund(West), Mumbai - 400080; Dist: Mumbai; State: Maharashtra",0,Std (022) Tel: 21647575 21647676 Fax: 0,400080.0,Vaishali Nagar
3053,Manisundaram Medical Mission,SOUTH,Tamil Nadu,Vellore,"288, South Avenue Road, Phase-1, Vellore 632009 Dist Vellore Tamil Nadu",Mr. Subhash,STD (0416) Tel: 2256007 2256007 Fax: 2256007,632009.0,Phase-1
3054,Manjarie Hospital,SOUTH,Tamil Nadu,Madurai,"R 270 D, Gst Road, Thirunagar 2nd Stop, Madurai 625006 Dist Madurai Tamil Nadu",Dr M Rani,STD (0452) Tel: 2486405 4367528 Fax: 2486405,625006.0,Thirunagar 2nd Stop
3055,Manjeera Hospital,SOUTH,Telangana,Sangareddy,"Plot No:39 To 42, Tirumala Enclave, Pothireddypally 502295 Dist Sangareddy Telangana",Dr.K.Gayathri - Chairman,STD (08455) 270189,502295.0,Pothireddypally
3056,Manju Nursing Home,SOUTH,Tamil Nadu,Kanyakumari,Main Road Marthandam Nallor 629165 Dist Kanyakumari Tamil Nadu,Dr. R Suresh - Managing Director,STD(04651) Tel: 270141 273849 Fax: 271341,629165.0,Marthandam
3057,Manju Sree Hospital,SOUTH,Karnataka,Bengaluru,"91, Kavalbhyrasandra Dr Amc Road, Rt Nagar Post R T Nagar Bengaluru-560032; Dist: Bangalore; State: Karnataka",Dr. R T Naik - Medical Director,STD(080) Tel: 23632781 25924531 Fax: 23657196,560032.0,R T Nagar
3058,Manju Sudha Multi Speciality Hospital,SOUTH,Telangana,Hyderabad,"Third Left From Rajdhani Theatre, Near E-Seva, Vikas Nagar, Dilsukhnagar, Hyderabad 500060 Dist Hyderabad Telangana",Dr. Ramgopal,STD (040) 24044216 24046464,500060.0,Dilsukhnagar
3059,Manjunatha Eye Hospital,SOUTH,Karnataka,Udupi,"Bannanje Road, Udupi 576101 Dist Udupi Karnataka",Dr Shakila - Managing Director,STD (0820) 2522122 2521414 Fax:2521414,576101.0,Bannanje Road
3060,Manjunatha Hospital,SOUTH,Karnataka,Hassan,"Shankarmat Road, Opp: Srs School, K.R.Puram, City: Hassan, Dist: Hassan, State: Karnataka-573201",Dr. A S Manjunath-MD,"STD ( 8712 ) Tel: 233999, Fax: 0, Mob: 9448845423",573201.0,Opp: Srs School
3061,Manjunatha Nethralaya,SOUTH,Karnataka,Bengaluru,"No.44, Ammaji Complex, 1st Floor, Bhuvaneshwarinagar, T-Dasarahalli, Hesaraghatta Main Road, Bengaluru - 560057; Dist: Bangalore; State: Karnataka",Mr. Pradeep K - Properitor,Std (080) Tel: 28372777 Fax: 0,560057.0,Hesaraghatta Main Road
3062,Manjushree Nursing Home Pvt.Ltd,SOUTH,Karnataka,Bengaluru,#: 22/70 St. Johns Road Bangalore 560042 Dist Bangalore Karnataka,Dr. B S Susheela Rani - Medical Director,STD(080) Tel: 25365325 25362918 Fax: 25512909,560042.0,St Johns Road
3063,Mankikar Hospital For Children And Laboratory,WEST,Maharashtra,Pune,"DM CHAMBER, ABOVE RUPEE PARK BHOSORI PUNE MAHARASHTRA PUNE PUNE 411039 West",0,Std (0) tel: 020-27120049 Fax: 020-27120049 Mob: 9011087315,411039.0,Bhosari
3064,Mankindd Hospital,SOUTH,Telangana,Hyderabad,"3-6-369/A/25, 3rd Floor, Sadozi Building, Street-1, Himayath Nagar, Hyderabad 500029 Dist Hyderabad Telangana",Dr.Rakesh Kumar - Managing Director,STD (040) 27605559 2766548,500029.0,Himayath Nagar
3065,Mann Medicity Heart and Superspeciality Hospital,NORTH,Punjab,Jalandhar,"Near Tv Tower, Nakodar Road, Adda Khambra, Jalandhar 144005 Dist Jalandhar Punjab",Dr. Mann -,STD(0181) Tel: 2244000 Fax:,144005.0,Adda Khambra
3066,Manocha Eye Hospital,NORTH,Haryana,Ambala,"NH-65, Police Line, Arya Chowk, Near PKR Jain High School, Ambala, Dist: Ambala, State: Haryana - 134003",...,"STD (0171) Tel: 2553063, Fax: 2553073 Mob: 9996311033",134003.0,Ambala
3067,Manohari Hospital,SOUTH,Andhra Pradesh,Tirupati,"#548, Reddy & Reddy Colony, Tirupati - 517501; Dist: Chittoor; State: Andhra Pradesh",Dr. B. Manoharamma - MD,Std(0877) Tel: 2220244 Fax: 0,517501.0,Reddy & Reddy Colony
3068,Manorama Hospitex Pvt Ltd,EAST,West Bengal,Nadia,"Block-11, 172, Beharampur Road, Nh-34, Ranaghat Nadia 741201 Dist Nadia West Bengal",Mr Shuvankar Maitra - Director,STD : 03473 Ph No : 251743,741201.0,Ranaghat
3069,Manorma Nursing Home,WEST,Maharashtra,Thane,"Saisadan Building No:3, Divine School, Ambiwadi, Tullinj Road, Nallasopara(E), Thane - 401209; Dist: Thane; State: Maharashtra",Mr. Bhagwat Mishra - Chairman,Std (0250) Tel: 2430404 Fax: 0,401209.0,Ambiwadi
3070,Mansarovar Hospital,WEST,Gujarat,Ahmedabad,"Kheteshwar Medical Centre, Kheteshwar Bhavan, Ushmanpura, Ahmedabad; Dist: Ahmedabad; State: Gujarat-380013",TPA Coordinator,STD (079) Tel: 27557024 Fax: 27557022,380013.0,Ushmanpura
3071,Mansi Hospital,WEST,Gujarat,Ahmedabad,"Akhbar Nagar Circle, New Wadaj Ahmedabad 380013 Dist Ahmedabad Gujarat",Mr. Parth Patel - Director,STD (079) 27642001 27642002 Fax: 27642001,380013.0,New wadaj
3072,Manu Hospital & Research Center,NORTH,Rajasthan,Jaipur,"A-1-A Shyam Nagar Sodala Jaipur, Dist: Jaipur State: Rajasthan-302019",Dr. Ravi Agarwal -,STD(0141) Tel: 2292530 2295567 2293800 Fax: 2295567,302019.0,Sodala
3073,Manuel Orthopaedic Hospital,SOUTH,Tamil Nadu,Nagercoil,"Nh:47B, Tirunelueli Highway Therekal Puthoor, City: Nagercoil, Dist: Kanniyakumari-629901",Dr. Jaishith Manuel - MD,"STD(04652) tel: 272310, Fax:0, Mob: 9994964708",629901.0,Nagercoil
3074,Maple Nursing Home Pvt. Ltd.,EAST,West Bengal,Kolkata,17A Bipradas Street kolkata kolkata - 700009 Dist: Kolkata State: West Bengal,Dr. A K Das - Director,STD(033) Tel: 23501682 23509300 9830071520 Fax: 23509300,700009.0,kolkata
3075,Mar Sleeva Medicity Palai,SOUTH,Kerala,Kottayam,"Cherpunkal, Kezhuvankulam P O, City: Kottayam, Dist: Kottayam, State: Kerala - 686584",MSGR.ABRAHAM KOLLITHAN,STD (04822) Tel: 269500 Fax: 0 Mob: 9188525933,686584.0,Cherpunkal
